name_step1,time_step1,duration_step1,name_step2,time_step2,duration_step2,name_overall,time_overall,duration_overall
data_intensive_step1_aws,2017-08-10T18:21:30.186Z,4458,data_intensive_step2_aws,2017-08-10T18:21:30.186Z,1128,data_intensive_aws,2017-08-10T18:21:30.186Z,5691
data_intensive_step1_aws,2017-08-10T18:21:35.283Z,5342,data_intensive_step2_aws,2017-08-10T18:21:35.283Z,1062,data_intensive_aws,2017-08-10T18:21:35.283Z,6496
data_intensive_step1_aws,2017-08-10T18:21:41.269Z,3614,data_intensive_step2_aws,2017-08-10T18:21:41.269Z,2145,data_intensive_aws,2017-08-10T18:21:41.269Z,5851
data_intensive_step1_aws,2017-08-10T18:21:45.598Z,4283,data_intensive_step2_aws,2017-08-10T18:21:45.598Z,1016,data_intensive_aws,2017-08-10T18:21:45.598Z,5382
data_intensive_step1_aws,2017-08-10T18:21:50.507Z,4823,data_intensive_step2_aws,2017-08-10T18:21:50.507Z,1023,data_intensive_aws,2017-08-10T18:21:50.507Z,5970
data_intensive_step1_aws,2017-08-10T18:21:56.001Z,4563,data_intensive_step2_aws,2017-08-10T18:21:56.001Z,1008,data_intensive_aws,2017-08-10T18:21:56.001Z,5712
data_intensive_step1_aws,2017-08-10T18:22:01.353Z,4515,data_intensive_step2_aws,2017-08-10T18:22:01.353Z,1064,data_intensive_aws,2017-08-10T18:22:01.353Z,5706
data_intensive_step1_aws,2017-08-10T18:22:06.508Z,3955,data_intensive_step2_aws,2017-08-10T18:22:06.508Z,845,data_intensive_aws,2017-08-10T18:22:06.508Z,4436
data_intensive_step1_aws,2017-08-10T18:22:11.082Z,4853,data_intensive_step2_aws,2017-08-10T18:22:11.082Z,1176,data_intensive_aws,2017-08-10T18:22:11.082Z,6154
data_intensive_step1_aws,2017-08-10T18:22:16.658Z,3206,data_intensive_step2_aws,2017-08-10T18:22:16.658Z,968,data_intensive_aws,2017-08-10T18:22:16.658Z,4261
data_intensive_step1_aws,2017-08-10T18:22:20.502Z,4232,data_intensive_step2_aws,2017-08-10T18:22:20.502Z,922,data_intensive_aws,2017-08-10T18:22:20.502Z,5260
data_intensive_step1_aws,2017-08-10T18:22:25.39Z,3480,data_intensive_step2_aws,2017-08-10T18:22:25.39Z,953,data_intensive_aws,2017-08-10T18:22:25.39Z,4524
data_intensive_step1_aws,2017-08-10T18:22:29.499Z,2787,data_intensive_step2_aws,2017-08-10T18:22:29.499Z,1003,data_intensive_aws,2017-08-10T18:22:29.499Z,3900
data_intensive_step1_aws,2017-08-10T18:22:32.926Z,2786,data_intensive_step2_aws,2017-08-10T18:22:32.926Z,983,data_intensive_aws,2017-08-10T18:22:32.926Z,3865
data_intensive_step1_aws,2017-08-10T18:22:36.366Z,4694,data_intensive_step2_aws,2017-08-10T18:22:36.366Z,928,data_intensive_aws,2017-08-10T18:22:36.366Z,5707
data_intensive_step1_aws,2017-08-10T18:22:41.925Z,3621,data_intensive_step2_aws,2017-08-10T18:22:41.925Z,1440,data_intensive_aws,2017-08-10T18:22:41.925Z,5254
data_intensive_step1_aws,2017-08-10T18:22:46.152Z,6079,data_intensive_step2_aws,2017-08-10T18:22:46.152Z,935,data_intensive_aws,2017-08-10T18:22:46.152Z,7137
data_intensive_step1_aws,2017-08-10T18:22:52.858Z,3415,data_intensive_step2_aws,2017-08-10T18:22:52.858Z,956,data_intensive_aws,2017-08-10T18:22:52.858Z,4464
data_intensive_step1_aws,2017-08-10T18:22:56.937Z,2910,data_intensive_step2_aws,2017-08-10T18:22:56.937Z,1522,data_intensive_aws,2017-08-10T18:22:56.937Z,4531
data_intensive_step1_aws,2017-08-10T18:23:00.475Z,5144,data_intensive_step2_aws,2017-08-10T18:23:00.475Z,1225,data_intensive_aws,2017-08-10T18:23:00.475Z,6457
data_intensive_step1_aws,2017-08-10T18:23:06.203Z,5219,data_intensive_step2_aws,2017-08-10T18:23:06.203Z,981,data_intensive_aws,2017-08-10T18:23:06.203Z,6331
data_intensive_step1_aws,2017-08-10T18:23:12.044Z,3592,data_intensive_step2_aws,2017-08-10T18:23:12.044Z,1064,data_intensive_aws,2017-08-10T18:23:12.044Z,4780
data_intensive_step1_aws,2017-08-10T18:23:16.217Z,4408,data_intensive_step2_aws,2017-08-10T18:23:16.217Z,1012,data_intensive_aws,2017-08-10T18:23:16.217Z,5525
data_intensive_step1_aws,2017-08-10T18:23:21.363Z,5728,data_intensive_step2_aws,2017-08-10T18:23:21.363Z,1396,data_intensive_aws,2017-08-10T18:23:21.363Z,7870
data_intensive_step1_aws,2017-08-10T18:23:27.793Z,4651,data_intensive_step2_aws,2017-08-10T18:23:27.793Z,3354,data_intensive_aws,2017-08-10T18:23:27.793Z,8099
data_intensive_step1_aws,2017-08-10T18:23:33.102Z,8487,data_intensive_step2_aws,2017-08-10T18:23:33.102Z,984,data_intensive_aws,2017-08-10T18:23:33.102Z,9593
data_intensive_step1_aws,2017-08-10T18:23:42.117Z,6609,data_intensive_step2_aws,2017-08-10T18:23:42.117Z,948,data_intensive_aws,2017-08-10T18:23:42.117Z,7646
data_intensive_step1_aws,2017-08-10T18:23:49.289Z,4072,data_intensive_step2_aws,2017-08-10T18:23:49.289Z,1015,data_intensive_aws,2017-08-10T18:23:49.289Z,5169
data_intensive_step1_aws,2017-08-10T18:23:54.006Z,3880,data_intensive_step2_aws,2017-08-10T18:23:54.006Z,943,data_intensive_aws,2017-08-10T18:23:54.006Z,4910
data_intensive_step1_aws,2017-08-10T18:23:58.429Z,3579,data_intensive_step2_aws,2017-08-10T18:23:58.429Z,1185,data_intensive_aws,2017-08-10T18:23:58.429Z,4851
data_intensive_step1_aws,2017-08-10T18:24:02.662Z,4155,data_intensive_step2_aws,2017-08-10T18:24:02.662Z,1245,data_intensive_aws,2017-08-10T18:24:02.662Z,5007
data_intensive_step1_aws,2017-08-10T18:24:07.382Z,3938,data_intensive_step2_aws,2017-08-10T18:24:07.382Z,987,data_intensive_aws,2017-08-10T18:24:07.382Z,5101
data_intensive_step1_aws,2017-08-10T18:24:11.966Z,3277,data_intensive_step2_aws,2017-08-10T18:24:11.966Z,1081,data_intensive_aws,2017-08-10T18:24:11.966Z,4487
data_intensive_step1_aws,2017-08-10T18:24:15.838Z,4786,data_intensive_step2_aws,2017-08-10T18:24:15.838Z,1254,data_intensive_aws,2017-08-10T18:24:15.838Z,6119
data_intensive_step1_aws,2017-08-10T18:24:21.253Z,4935,data_intensive_step2_aws,2017-08-10T18:24:21.253Z,1113,data_intensive_aws,2017-08-10T18:24:21.253Z,6145
data_intensive_step1_aws,2017-08-10T18:24:26.814Z,2915,data_intensive_step2_aws,2017-08-10T18:24:26.814Z,958,data_intensive_aws,2017-08-10T18:24:26.814Z,3959
data_intensive_step1_aws,2017-08-10T18:24:30.361Z,3908,data_intensive_step2_aws,2017-08-10T18:24:30.361Z,949,data_intensive_aws,2017-08-10T18:24:30.361Z,4952
data_intensive_step1_aws,2017-08-10T18:24:34.939Z,4111,data_intensive_step2_aws,2017-08-10T18:24:34.939Z,1248,data_intensive_aws,2017-08-10T18:24:34.939Z,5450
data_intensive_step1_aws,2017-08-10T18:24:39.67Z,7613,data_intensive_step2_aws,2017-08-10T18:24:39.67Z,997,data_intensive_aws,2017-08-10T18:24:39.67Z,8708
data_intensive_step1_aws,2017-08-10T18:24:47.85Z,4603,data_intensive_step2_aws,2017-08-10T18:24:47.85Z,1863,data_intensive_aws,2017-08-10T18:24:47.85Z,6610
data_intensive_step1_aws,2017-08-10T18:24:53.116Z,3697,data_intensive_step2_aws,2017-08-10T18:24:53.116Z,952,data_intensive_aws,2017-08-10T18:24:53.116Z,4654
data_intensive_step1_aws,2017-08-10T18:24:57.427Z,3504,data_intensive_step2_aws,2017-08-10T18:24:57.427Z,1007,data_intensive_aws,2017-08-10T18:24:57.427Z,4746
data_intensive_step1_aws,2017-08-10T18:25:01.539Z,4303,data_intensive_step2_aws,2017-08-10T18:25:01.539Z,981,data_intensive_aws,2017-08-10T18:25:01.539Z,5440
data_intensive_step1_aws,2017-08-10T18:25:06.43Z,5732,data_intensive_step2_aws,2017-08-10T18:25:06.43Z,938,data_intensive_aws,2017-08-10T18:25:06.43Z,6864
data_intensive_step1_aws,2017-08-10T18:25:12.793Z,3958,data_intensive_step2_aws,2017-08-10T18:25:12.793Z,933,data_intensive_aws,2017-08-10T18:25:12.793Z,8005
data_intensive_step1_aws,2017-08-10T18:25:17.389Z,3395,data_intensive_step2_aws,2017-08-10T18:25:17.389Z,980,data_intensive_aws,2017-08-10T18:25:17.389Z,4500
data_intensive_step1_aws,2017-08-10T18:25:21.401Z,3033,data_intensive_step2_aws,2017-08-10T18:25:21.401Z,1312,data_intensive_aws,2017-08-10T18:25:21.401Z,4434
data_intensive_step1_aws,2017-08-10T18:25:25.072Z,5037,data_intensive_step2_aws,2017-08-10T18:25:25.072Z,1368,data_intensive_aws,2017-08-10T18:25:25.072Z,6500
data_intensive_step1_aws,2017-08-10T18:25:30.724Z,3970,data_intensive_step2_aws,2017-08-10T18:25:30.724Z,1089,data_intensive_aws,2017-08-10T18:25:30.724Z,5154
data_intensive_step1_aws,2017-08-10T18:25:35.362Z,4298,data_intensive_step2_aws,2017-08-10T18:25:35.362Z,970,data_intensive_aws,2017-08-10T18:25:35.362Z,5776
data_intensive_step1_aws,2017-08-10T18:25:40.309Z,2825,data_intensive_step2_aws,2017-08-10T18:25:40.309Z,975,data_intensive_aws,2017-08-10T18:25:40.309Z,3882
data_intensive_step1_aws,2017-08-10T18:25:43.683Z,4577,data_intensive_step2_aws,2017-08-10T18:25:43.683Z,948,data_intensive_aws,2017-08-10T18:25:43.683Z,5615
data_intensive_step1_aws,2017-08-10T18:25:48.861Z,5022,data_intensive_step2_aws,2017-08-10T18:25:48.861Z,933,data_intensive_aws,2017-08-10T18:25:48.861Z,6093
data_intensive_step1_aws,2017-08-10T18:25:54.529Z,4346,data_intensive_step2_aws,2017-08-10T18:25:54.529Z,1403,data_intensive_aws,2017-08-10T18:25:54.529Z,5832
data_intensive_step1_aws,2017-08-10T18:25:59.608Z,3753,data_intensive_step2_aws,2017-08-10T18:25:59.608Z,927,data_intensive_aws,2017-08-10T18:25:59.608Z,4783
data_intensive_step1_aws,2017-08-10T18:26:03.895Z,4503,data_intensive_step2_aws,2017-08-10T18:26:03.895Z,1021,data_intensive_aws,2017-08-10T18:26:03.895Z,5609
data_intensive_step1_aws,2017-08-10T18:26:09.1Z,4556,data_intensive_step2_aws,2017-08-10T18:26:09.1Z,1000,data_intensive_aws,2017-08-10T18:26:09.1Z,5631
data_intensive_step1_aws,2017-08-10T18:26:14.259Z,3718,data_intensive_step2_aws,2017-08-10T18:26:14.259Z,1028,data_intensive_aws,2017-08-10T18:26:14.259Z,4831
data_intensive_step1_aws,2017-08-10T18:26:18.616Z,3896,data_intensive_step2_aws,2017-08-10T18:26:18.616Z,1000,data_intensive_aws,2017-08-10T18:26:18.616Z,5003
data_intensive_step1_aws,2017-08-10T18:26:23.13Z,4426,data_intensive_step2_aws,2017-08-10T18:26:23.13Z,965,data_intensive_aws,2017-08-10T18:26:23.13Z,5471
data_intensive_step1_aws,2017-08-10T18:26:28.129Z,4125,data_intensive_step2_aws,2017-08-10T18:26:28.129Z,1106,data_intensive_aws,2017-08-10T18:26:28.129Z,5349
data_intensive_step1_aws,2017-08-10T18:26:32.949Z,7381,data_intensive_step2_aws,2017-08-10T18:26:32.949Z,854,data_intensive_aws,2017-08-10T18:26:32.949Z,7804
data_intensive_step1_aws,2017-08-10T18:26:41.069Z,2850,data_intensive_step2_aws,2017-08-10T18:26:41.069Z,942,data_intensive_aws,2017-08-10T18:26:41.069Z,3883
data_intensive_step1_aws,2017-08-10T18:26:44.589Z,3881,data_intensive_step2_aws,2017-08-10T18:26:44.589Z,1103,data_intensive_aws,2017-08-10T18:26:44.589Z,5074
data_intensive_step1_aws,2017-08-10T18:26:49.259Z,4345,data_intensive_step2_aws,2017-08-10T18:26:49.259Z,930,data_intensive_aws,2017-08-10T18:26:49.259Z,5377
data_intensive_step1_aws,2017-08-10T18:26:54.25Z,4886,data_intensive_step2_aws,2017-08-10T18:26:54.25Z,1005,data_intensive_aws,2017-08-10T18:26:54.25Z,7564
data_intensive_step1_aws,2017-08-10T18:26:59.789Z,4053,data_intensive_step2_aws,2017-08-10T18:26:59.789Z,969,data_intensive_aws,2017-08-10T18:26:59.789Z,5104
data_intensive_step1_aws,2017-08-10T18:27:04.609Z,3946,data_intensive_step2_aws,2017-08-10T18:27:04.609Z,958,data_intensive_aws,2017-08-10T18:27:04.609Z,5010
data_intensive_step1_aws,2017-08-10T18:27:09.269Z,3916,data_intensive_step2_aws,2017-08-10T18:27:09.269Z,926,data_intensive_aws,2017-08-10T18:27:09.269Z,4965
data_intensive_step1_aws,2017-08-10T18:27:13.712Z,3977,data_intensive_step2_aws,2017-08-10T18:27:13.712Z,1352,data_intensive_aws,2017-08-10T18:27:13.712Z,5417
data_intensive_step1_aws,2017-08-10T18:27:18.429Z,5231,data_intensive_step2_aws,2017-08-10T18:27:18.429Z,986,data_intensive_aws,2017-08-10T18:27:18.429Z,6385
data_intensive_step1_aws,2017-08-10T18:27:24.289Z,4425,data_intensive_step2_aws,2017-08-10T18:27:24.289Z,977,data_intensive_aws,2017-08-10T18:27:24.289Z,5492
data_intensive_step1_aws,2017-08-10T18:27:29.311Z,3094,data_intensive_step2_aws,2017-08-10T18:27:29.311Z,1021,data_intensive_aws,2017-08-10T18:27:29.311Z,4211
data_intensive_step1_aws,2017-08-10T18:27:33.089Z,5013,data_intensive_step2_aws,2017-08-10T18:27:33.089Z,956,data_intensive_aws,2017-08-10T18:27:33.089Z,6096
data_intensive_step1_aws,2017-08-10T18:27:38.774Z,8014,data_intensive_step2_aws,2017-08-10T18:27:38.774Z,950,data_intensive_aws,2017-08-10T18:27:38.774Z,9065
data_intensive_step1_aws,2017-08-10T18:27:47.538Z,9433,data_intensive_step2_aws,2017-08-10T18:27:47.538Z,1026,data_intensive_aws,2017-08-10T18:27:47.538Z,10558
data_intensive_step1_aws,2017-08-10T18:27:57.749Z,4583,data_intensive_step2_aws,2017-08-10T18:27:57.749Z,930,data_intensive_aws,2017-08-10T18:27:57.749Z,5823
data_intensive_step1_aws,2017-08-10T18:28:02.909Z,3351,data_intensive_step2_aws,2017-08-10T18:28:02.909Z,949,data_intensive_aws,2017-08-10T18:28:02.909Z,4621
data_intensive_step1_aws,2017-08-10T18:28:07.089Z,4921,data_intensive_step2_aws,2017-08-10T18:28:07.089Z,809,data_intensive_aws,2017-08-10T18:28:07.089Z,5084
data_intensive_step1_aws,2017-08-10T18:28:12.801Z,3439,data_intensive_step2_aws,2017-08-10T18:28:12.801Z,975,data_intensive_aws,2017-08-10T18:28:12.801Z,4514
data_intensive_step1_aws,2017-08-10T18:28:16.89Z,4150,data_intensive_step2_aws,2017-08-10T18:28:16.89Z,950,data_intensive_aws,2017-08-10T18:28:16.89Z,5229
data_intensive_step1_aws,2017-08-10T18:28:21.675Z,4096,data_intensive_step2_aws,2017-08-10T18:28:21.675Z,953,data_intensive_aws,2017-08-10T18:28:21.675Z,5143
data_intensive_step1_aws,2017-08-10T18:28:26.391Z,3627,data_intensive_step2_aws,2017-08-10T18:28:26.391Z,958,data_intensive_aws,2017-08-10T18:28:26.391Z,4699
data_intensive_step1_aws,2017-08-10T18:28:30.701Z,5175,data_intensive_step2_aws,2017-08-10T18:28:30.701Z,924,data_intensive_aws,2017-08-10T18:28:30.701Z,6188
data_intensive_step1_aws,2017-08-10T18:28:36.389Z,6967,data_intensive_step2_aws,2017-08-10T18:28:36.389Z,1037,data_intensive_aws,2017-08-10T18:28:36.389Z,8288
data_intensive_step1_aws,2017-08-10T18:28:44.009Z,4124,data_intensive_step2_aws,2017-08-10T18:28:44.009Z,939,data_intensive_aws,2017-08-10T18:28:44.009Z,5148
data_intensive_step1_aws,2017-08-10T18:28:48.854Z,3632,data_intensive_step2_aws,2017-08-10T18:28:48.854Z,932,data_intensive_aws,2017-08-10T18:28:48.854Z,4645
data_intensive_step1_aws,2017-08-10T18:28:53.076Z,4202,data_intensive_step2_aws,2017-08-10T18:28:53.076Z,935,data_intensive_aws,2017-08-10T18:28:53.076Z,5242
data_intensive_step1_aws,2017-08-10T18:28:57.963Z,2651,data_intensive_step2_aws,2017-08-10T18:28:57.963Z,1021,data_intensive_aws,2017-08-10T18:28:57.963Z,3746
data_intensive_step1_aws,2017-08-10T18:29:01.344Z,4880,data_intensive_step2_aws,2017-08-10T18:29:01.344Z,927,data_intensive_aws,2017-08-10T18:29:01.344Z,5921
data_intensive_step1_aws,2017-08-10T18:29:06.861Z,4723,data_intensive_step2_aws,2017-08-10T18:29:06.861Z,1010,data_intensive_aws,2017-08-10T18:29:06.861Z,5814
data_intensive_step1_aws,2017-08-10T18:29:12.129Z,4113,data_intensive_step2_aws,2017-08-10T18:29:12.129Z,1690,data_intensive_aws,2017-08-10T18:29:12.129Z,5917
data_intensive_step1_aws,2017-08-10T18:29:17.129Z,4555,data_intensive_step2_aws,2017-08-10T18:29:17.129Z,945,data_intensive_aws,2017-08-10T18:29:17.129Z,5590
data_intensive_step1_aws,2017-08-10T18:29:22.323Z,4250,data_intensive_step2_aws,2017-08-10T18:29:22.323Z,1697,data_intensive_aws,2017-08-10T18:29:22.323Z,6073
data_intensive_step1_aws,2017-08-10T18:29:27.221Z,4325,data_intensive_step2_aws,2017-08-10T18:29:27.221Z,927,data_intensive_aws,2017-08-10T18:29:27.221Z,5377
data_intensive_step1_aws,2017-08-10T18:29:32.069Z,3293,data_intensive_step2_aws,2017-08-10T18:29:32.069Z,1032,data_intensive_aws,2017-08-10T18:29:32.069Z,4435
data_intensive_step1_aws,2017-08-10T18:29:35.98Z,4217,data_intensive_step2_aws,2017-08-10T18:29:35.98Z,845,data_intensive_aws,2017-08-10T18:29:35.98Z,4730
data_intensive_step1_aws,2017-08-10T18:29:40.992Z,2917,data_intensive_step2_aws,2017-08-10T18:29:40.992Z,1212,data_intensive_aws,2017-08-10T18:29:40.992Z,4255
data_intensive_step1_aws,2017-08-10T18:29:44.535Z,4075,data_intensive_step2_aws,2017-08-10T18:29:44.535Z,1071,data_intensive_aws,2017-08-10T18:29:44.535Z,5260
data_intensive_step1_aws,2017-08-10T18:29:49.349Z,3620,data_intensive_step2_aws,2017-08-10T18:29:49.349Z,985,data_intensive_aws,2017-08-10T18:29:49.349Z,4704
